FI0037635=,FI0037635=,FI0037635=,FI0037635=,FI0037635=,FI0037635=CF,FI0037635=CF,FI0037635=CF,FI0037635=CF,FI0037635=CF
Ask Price,Bid Price,Bid Yield,Ask Yield,Currency,Ask Price,Bid Price,Bid Yield,Ask Yield,Currency
124.332,124.234,-0.164,-0.174,,124.348,124.248,-0.165,-0.176,
124.872,124.771,-0.25,-0.26,,124.619,124.518,-0.223,-0.233,
124.608,124.507,-0.246,-0.257,,124.61,124.51,-0.247,-0.257,
125.203,125.102,-0.338,-0.349,,125.392,125.292,-0.359,-0.369,
125.858,125.757,-0.44,-0.451,,125.758,125.657,-0.43,-0.441,
124.773,124.672,-0.35,-0.361,,124.81,124.71,-0.354,-0.365,
125.541,125.44,-0.465,-0.476,,125.613,125.513,-0.473,-0.484,
126.213,126.112,-0.572,-0.583,,126.259,126.158,-0.577,-0.589,
125.667,125.566,-0.542,-0.553,,125.688,125.588,-0.544,-0.556,
,,,,,125.684,125.586,-0.581,-0.592,
125.665,125.555,-0.577128,-0.589628,,,,,,
124.926,124.825,-0.524,-0.535,,124.918,124.818,-0.523,-0.535,
122.706,122.605,-0.292,-0.304,,122.656,122.555,-0.286,-0.298,
123.063,122.963,-0.371,-0.384,,123.084,122.983,-0.374,-0.386,
122.078,121.978,-0.281,-0.294,,122.115,122.014,-0.286,-0.298,
121.73,121.64,-0.27,-0.281,,121.658,121.558,-0.26,-0.272,
121.875,121.775,-0.319,-0.331,,121.81,121.72,-0.312,-0.323,
123.412,123.312,-0.547,-0.56,,123.33,123.24,-0.538,-0.549,
122.488,122.388,-0.466,-0.478,,122.58,122.48,-0.477,-0.49,
121.084,120.984,-0.321,-0.334,,121.002,120.902,-0.31,-0.323,
119.67,119.57,-0.166,-0.179,,119.531,119.431,-0.147,-0.161,
121.196,121.096,-0.404,-0.417,,121.279,121.179,-0.415,-0.428,
119.747,119.647,-0.247,-0.26,,119.844,119.744,-0.26,-0.273,
118.07,117.97,-0.046,-0.06,,118.094,117.994,-0.049,-0.063,
116.287,116.187,0.18,0.165,,116.06,115.95,0.214,0.198,
113.19,113.09,0.609,0.594,,112.99,112.89,0.639,0.624,
110.69,110.57,0.976,0.957,,110.911,110.791,0.941,0.922,
109.266,109.146,1.184,1.164,,109.142,109.022,1.204,1.184,
107.69,107.57,1.425,1.405,,107.64,107.52,1.433,1.413,
110.938,110.818,0.867,0.848,,110.674,110.554,0.911,0.891,
105.754,105.634,1.726,1.705,,105.822,105.702,1.714,1.693,
101.74,101.62,2.443,2.421,,101.914,101.794,2.411,2.388,
101.303,101.183,2.522,2.499,,101.372,101.272,2.505,2.486,
102.539,102.325,2.3,2.26,,102.359,102.239,2.317,2.294,
99.461,99.341,2.879,2.855,,99.632,99.512,2.845,2.821,
100.768,100.648,2.618,2.595,,100.78,100.66,2.616,2.592,
98.557,98.437,3.07,3.045,,98.26,98.14,3.132,3.107,
100.569,100.309,2.685,2.631,,100.291,100.171,2.713,2.688,
100.493,100.373,2.671,2.646,,100.206,100.086,2.731,2.706,
100.596,100.476,2.648,2.623,,100.622,100.5,2.643,2.617,
99.407,99.287,2.905,2.879,,99.262,99.142,2.937,2.911,
99.475,99.281,2.908,2.865,,99.424,99.23,2.92,2.877,
99.654,99.534,2.853,2.826,,99.572,99.452,2.872,2.845,
98.163,98.043,3.199,3.171,,98.249,98.112,3.183,3.151,
98.811,98.59,3.077,3.025,,98.774,98.674,3.057,3.033,
100.326,100.206,2.7,2.671,,100.22,100.1,2.724,2.696,
102.115,101.995,2.277,2.249,,102.037,101.937,2.29,2.267,
101.613,101.493,2.388,2.359,,101.537,101.433,2.402,2.378,
100.117,99.997,2.749,2.719,,99.999,99.879,2.778,2.748,
100.399,100.34,2.663,2.648,,,,,,
,,,,,100.515,100.215,2.694,2.619,
99.546,99.426,2.897,2.866,,99.513,99.393,2.905,2.874,
99.158,99.014,3.01,2.971,,99.22,99.1,2.987,2.955,
99.768,99.714,2.826,2.812,,99.903,99.783,2.808,2.776,
100.793,100.757,2.544,2.534,,100.817,100.781,2.537,2.528,
101.114,101.078,2.451,2.441,,101.234,100.934,2.49,2.408,
102.033,101.993,2.19,2.178,,102.054,101.934,2.206,2.173,
101.124,101.004,2.458,2.424,,101.008,100.908,2.485,2.457,
102.2,102.158,2.116,2.104,,102.194,102.074,2.141,2.106,
,,,,,101.669,101.448,2.312,2.246,
101.635,101.593,2.269,2.256,,,,,,
101.433,101.397,2.317,2.306,,101.556,101.256,2.36,2.269,
101.886,101.586,2.249,2.156,,101.727,101.701,2.213,2.205,
101.442,101.262,2.341,2.283,,101.531,101.411,2.293,2.255,
102.384,102.204,2.023,1.964,,102.344,102.224,2.016,1.977,
102.17,102.137,2.028,2.017,,102.128,102.095,2.042,2.031,
101.947,101.827,2.116,2.075,,101.942,101.916,2.086,2.077,
101.66,101.631,2.166,2.155,,101.697,101.577,2.185,2.142,
101.816,101.748,2.107,2.0824,,101.804,101.762,2.102,2.087,
101.698,101.578,2.1516,2.1068,,101.754,101.574,2.153,2.086,
101.774,101.696,2.0862,2.0562,,101.743,101.704,2.083,2.068,
101.636,101.516,2.1384,2.0908,,101.636,101.516,2.138,2.091,
101.4,101.28,2.2135,2.1641,,101.447,101.231,2.234,2.145,
101.497,101.447,2.1256,2.1044,,101.484,101.434,2.131,2.11,
101.662,101.542,2.0646,2.0121,,101.587,101.516,2.076,2.045,
100.235,100.115,2.6935,2.6381,,100.231,100.131,2.686,2.64,
