,RIC,DTSubjectName,DBSTicker,CouponRate,MaturityDate,IssueDate,ISIN,RCSCurrencyLeaf,RCSCountryLeaf,DbTypeDescription,InstrumentTypeDescription,MaturityStandardYield,MaturityCorpMacDuration,MaturityCorpModDuration,IsCallable,IndustrySubSectorDescription,Price,PricingTradeDate
0,0#DK0030237029=,Sjf Bank A/S,SJF,1.83,2013-03-12,2010-03-12,DK0030237029,Danish Krone,Denmark,Corporate,Bond,,,,False,Banking,,
1,0#DK0030239314=,Sjf Bank A/S,SJF,1.8825,2013-04-23,2010-04-23,DK0030239314,Danish Krone,Denmark,Corporate,Bond,,,,False,Banking,,
2,0#DK0030248067=,Sjf Bank A/S,SJF,1.675,2013-06-28,2010-06-28,DK0030248067,Danish Krone,Denmark,Corporate,Bond,,,,True,Banking,,
3,0#DK0030256169=,Fjordbank Mors A/S,FJORB,1.655,2013-07-22,2010-07-22,DK0030256169,Danish Krone,Denmark,Corporate,Bond,,,,True,Banking,,
4,DK0002000421=,Nordea Kredit Realkreditaktieselskab,NDARFI,6.0,2026-07-01,1993-10-18,DK0002000421,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),2.54321,0.155556,0.154932,True,Mortgage Banking,100.5,2026-05-01
5,DK0002004092=,Nordea Kredit Realkreditaktieselskab,NDARFI,6.0,2029-07-01,1996-09-01,DK0002004092,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),4.076302,1.620056,1.587514,True,Mortgage Banking,102.9,2026-05-01
6,DK0002004258=,Nordea Kredit Realkreditaktieselskab,NDARFI,7.0,2029-07-01,1996-09-01,DK0002004258,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),3.938024,1.621254,1.589776,True,Mortgage Banking,104.7,2026-05-01
7,DK0002004415=,Nordea Kredit Realkreditaktieselskab,NDARFI,8.0,2026-10-01,1996-09-01,DK0002004415,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),,,,True,Mortgage Banking,,
8,DK0002004845=,Nordea Kredit Realkreditaktieselskab,NDARFI,5.0,2029-07-01,1998-06-01,DK0002004845,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),3.672154,1.623558,1.594135,True,Mortgage Banking,102.0,2026-05-01
9,DK0002006030=,Nordea Kredit Realkreditaktieselskab,NDARFI,5.0,2032-10-01,1999-07-01,DK0002006030,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),3.985255,3.141251,3.07956,True,Mortgage Banking,102.9,2026-05-01
10,DK0002006113=,Nordea Kredit Realkreditaktieselskab,NDARFI,6.0,2032-10-01,1999-07-01,DK0002006113,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),4.099286,3.137294,3.073945,True,Mortgage Banking,105.6,2026-05-01
11,DK0002006469=,Nordea Kredit Realkreditaktieselskab,NDARFI,7.0,2031-07-01,1999-07-01,DK0002006469,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),4.604355,2.5507,2.492954,True,Mortgage Banking,105.7,2026-05-01
12,DK0002011386=,Nordea Kredit Realkreditaktieselskab,NDARFI,5.0,2035-01-01,2002-03-07,DK0002011386,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),3.967239,4.154327,4.073111,True,Mortgage Banking,103.925,2026-05-01
13,DK0002011469=,Nordea Kredit Realkreditaktieselskab,NDARFI,6.0,2033-01-01,2002-03-07,DK0002011469,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),3.984798,3.255345,3.191421,True,Mortgage Banking,106.2,2026-05-01
14,DK0002012780=,Nordea Kredit Realkreditaktieselskab,NDARFI,4.0,2035-10-01,2003-06-16,DK0002012780,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),3.568764,4.513975,4.434476,True,Mortgage Banking,101.675,2026-05-01
15,DK0002013408=,Nordea Kredit Realkreditaktieselskab,NDARFI,5.0,2035-04-01,2003-11-17,DK0002013408,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),3.906362,4.268828,4.186636,True,Mortgage Banking,104.3,2026-05-01
16,DK0002013838=,Nordea Kredit Realkreditaktieselskab,NDARFI,6.0,2035-07-01,2004-11-19,DK0002013838,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),4.410777,4.343789,4.249531,True,Mortgage Banking,106.4,2026-05-01
17,DK0002013911=,Nordea Kredit Realkreditaktieselskab,NDARFI,6.0,2035-04-01,2004-11-19,DK0002013911,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),4.712304,4.215434,4.117816,True,Mortgage Banking,104.9,2026-05-01
18,DK0002014216=,Nordea Kredit Realkreditaktieselskab,NDARFI,5.0,2038-01-01,2005-01-18,DK0002014216,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),4.0503,5.44375,5.335137,True,Mortgage Banking,104.7,2026-05-01
19,DK0002014489=,Nordea Kredit Realkreditaktieselskab,NDARFI,5.0,2038-01-01,2005-01-18,DK0002014489,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),4.37177,5.407598,5.291282,True,Mortgage Banking,102.9,2026-05-01
20,DK0002014646=,Nordea Kredit Realkreditaktieselskab,NDARFI,4.0,2036-04-01,2005-02-09,DK0002014646,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),3.523534,4.73893,4.656514,True,Mortgage Banking,101.975,2026-05-01
21,DK0002014729=,Nordea Kredit Realkreditaktieselskab,NDARFI,4.0,2035-10-01,2005-02-21,DK0002014729,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),3.656597,4.507469,4.426157,True,Mortgage Banking,101.275,2026-05-01
22,DK0002014992=,Nordea Kredit Realkreditaktieselskab,NDARFI,4.0,2027-04-01,2005-03-01,DK0002014992,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),1.92958,0.529049,0.523971,True,Mortgage Banking,101.06,2026-05-01
23,DK0002015023=,Nordea Kredit Realkreditaktieselskab,NDARFI,4.0,2036-04-01,2005-03-01,DK0002015023,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),3.706598,4.723915,4.63755,True,Mortgage Banking,101.1,2026-05-01
24,DK0002015106=,Nordea Kredit Realkreditaktieselskab,NDARFI,3.4,2038-07-01,2005-05-17,DK0002015106,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),2.661846,5.828682,0.27436,True,Mortgage Banking,104.23,2026-05-01
25,DK0002015296=,Nordea Kredit Realkreditaktieselskab,NDARFI,3.4,2038-01-01,2005-05-17,DK0002015296,Danish Krone,Denmark,Corporate,Realkreditobligation (Covered bond (Denmark pre-2008)),2.785451,5.590932,0.250848,True,Mortgage Banking,103.349,2026-05-01
