,RIC,DTSubjectName,DBSTicker,CouponRate,MaturityDate,IssueDate,ISIN,RCSCurrencyLeaf,RCSCountryLeaf,DbTypeDescription,InstrumentTypeDescription,RCSBondGradeLeaf,MaturityStandardYield,MaturityCorpMacDuration,MaturityCorpModDuration,IsCallable,IndustrySubSectorDescription,Price,PricingTradeDate
0,DEA19JHQ=,OP Asuntoluottopankki Oyj,OPCPRO,0.75,2027-06-07,2017-06-07,XS1626141698,Euro,Finland,Corporate,Covered Bond (Other),Investment Grade,2.809048,1.081293,1.066398,False,Mortgage Banking,97.818,2026-05-01
1,DEA1ZYKN=,Nordea Kiinnitysluottopankki Oyj,NDAFTI,0.625,2027-03-17,2015-03-17,XS1204140971,Euro,Finland,Corporate,Covered Bond (Other),Investment Grade,2.650345,0.866667,0.847227,False,Banking,98.284,2026-05-01
2,DEA285A2=,OP Asuntoluottopankki Oyj,OPCPRO,0.01,2030-11-19,2020-11-19,XS2260183285,Euro,Finland,Corporate,Covered Bond (Other),Investment Grade,3.088424,4.537793,4.469249,False,Mortgage Banking,87.137,2026-05-01
3,DEA28SAX=,OP Asuntoluottopankki Oyj,OPCPRO,0.05,2028-04-21,2020-01-21,XS2105779719,Euro,Finland,Corporate,Covered Bond (Other),Investment Grade,2.949654,1.960597,1.932298,False,Mortgage Banking,94.551,2026-05-01
4,DEA2R3NS=,Nordea Kiinnitysluottopankki Oyj,NDAFTI,0.125,2027-06-18,2019-06-18,XS2013525410,Euro,Finland,Corporate,Covered Bond (Other),Investment Grade,2.754494,1.118163,1.10306,False,Banking,97.137,2026-05-01
5,DEA2RXT8=,OP Asuntoluottopankki Oyj,OPCPRO,0.625,2029-02-15,2019-02-15,XS1951927158,Euro,Finland,Corporate,Covered Bond (Other),Investment Grade,2.98035,2.758456,2.718164,False,Mortgage Banking,93.795,2026-05-01
6,DEA3LTE7=,OP Asuntoluottopankki Oyj,OPCPRO,3.0,2031-07-17,2024-01-17,XS2749486556,Euro,Finland,Corporate,Covered Bond (Other),Investment Grade,3.140935,4.777811,4.7045,False,Mortgage Banking,99.326,2026-05-01
7,DK267356483=,Danske Kiinnitysluottopankki Oyj,DANSYK,3.5,2029-01-29,2023-08-29,XS2673564832,Euro,Finland,Corporate,Covered Bond (Other),Investment Grade,2.948946,2.63386,2.595811,False,Mortgage Banking,101.419,2026-05-01
8,FI0003030544=,CapMan Oyj,CAPMAN,11.25,,2008-12-18,FI0003030544,Euro,Finland,Corporate,Bond,,,,,True,Financial - Other,,
9,FI261383829=,OP Asuntoluottopankki Oyj,OPCPRO,3.125,2028-10-20,2023-04-20,XS2613838296,Euro,Finland,Corporate,Covered Bond (Other),Investment Grade,2.957323,2.368571,2.334278,False,Mortgage Banking,100.381,2026-05-01
