,RIC,DTSubjectName,DBSTicker,CouponRate,MaturityDate,IssueDate,ISIN,RCSCurrencyLeaf,RCSCountryLeaf,DbTypeDescription,InstrumentTypeDescription,RCSBondGradeLeaf,MaturityStandardYield,MaturityCorpMacDuration,MaturityCorpModDuration,IsCallable,IndustrySubSectorDescription,Price,PricingTradeDate
0,DEA185JS=,Sparebank 1 Boligkreditt AS,SPRBG,0.25,2026-08-30,2016-08-30,XS1482554075,Euro,Norway,Corporate,Covered Bond (Other),Investment Grade,2.415126,0.319444,0.31699,False,Mortgage Banking,99.31,2026-05-01
1,DEA185TU=,DNB Boligkreditt AS,DNBDB,0.25,2026-09-07,2016-09-07,XS1485596511,Euro,Norway,Corporate,Covered Bond (Other),Investment Grade,2.421796,0.338889,0.336101,False,Financial - Other,99.261,2026-05-01
2,DEA282SD=,Sparebank 1 Boligkreditt AS,SPRBG,0.01,2027-09-22,2020-09-22,XS2234568983,Euro,Norway,Corporate,Covered Bond (Other),Investment Grade,2.832195,1.380453,1.361268,False,Mortgage Banking,96.223,2026-05-01
3,DEA2RW3D=,Sparebank 1 Boligkreditt AS,SPRBG,1.0,2029-01-30,2019-01-30,XS1943561883,Euro,Norway,Corporate,Covered Bond (Other),Investment Grade,2.953697,2.705559,2.666414,False,Mortgage Banking,94.927,2026-05-01
4,DEA3K1DE=,Sparebank 1 Boligkreditt AS,SPRBG,0.125,2028-01-20,2022-01-20,XS2434677998,Euro,Norway,Corporate,Covered Bond (Other),Investment Grade,2.884454,1.70705,1.682895,False,Mortgage Banking,95.453,2026-05-01
5,DEA3K8PC=,SR Boligkreditt AS,SRBANB,1.625,2028-03-15,2022-08-23,XS2524675050,Euro,Norway,Corporate,Covered Bond (Other),Investment Grade,2.89954,1.844924,1.818756,False,Financial - Other,97.721,2026-05-01
6,DEA3KQTS=,DNB Boligkreditt AS,DNBDB,0.01,2028-05-12,2021-05-12,XS2341719503,Euro,Norway,Corporate,Covered Bond (Other),Investment Grade,2.872189,2.01913,1.990747,False,Financial - Other,94.462,2026-05-01
7,DEA460DV=F,LR Health & Beauty SE,AOOINL,0.0,,2025-11-28,NO0013699330,Euro,Norway,Corporate,Interest Claim,,,,,False,Financial - Other,,
8,DEA4EAY4=,Sparebank 1 Boligkreditt AS,SPRBG,2.375,2030-02-13,2025-05-13,XS3070628014,Euro,Norway,Corporate,Covered Bond (Other),Investment Grade,3.025479,3.633228,3.579397,False,Mortgage Banking,97.707,2026-05-01
9,DEA4ENQG=,DNB Boligkreditt AS,DNBDB,2.75,2032-01-19,2026-01-19,XS3275406885,Euro,Norway,Corporate,Covered Bond (Other),Investment Grade,3.121626,5.313433,5.232332,False,Financial - Other,98.075,2026-05-01
10,DEA4EQ6B=F,Okechamp Global BV,OKECH,0.0,,2026-02-16,NO0013735084,Euro,Norway,Corporate,Interest Claim,,,,,False,Financial - Other,,
11,DEA4ERPL=F,LR Health & Beauty SE,AOOINL,0.0,,2026-02-27,NO0013736744,Euro,Norway,Corporate,Interest Claim,,,,,False,Financial - Other,,
12,DEA4ESCT=,Sparebank 1 Boligkreditt AS,SPRBG,3.0,2032-03-23,2026-03-23,XS3324600215,Euro,Norway,Corporate,Covered Bond (Other),Investment Grade,3.16027,5.460893,5.376614,False,Mortgage Banking,99.147,2026-05-01
13,DEA4ETDQ=,Sparebanken Norge Boligkreditt AS,SBNORS,2.875,2031-04-16,2026-04-16,XS3343433085,Euro,Norway,Corporate,Covered Bond (Other),Investment Grade,3.119647,4.67367,4.60242,False,Banking,98.892,2026-05-01
