,Instrument,RIC,Currency,Issuer Rating,Rating Source Description,Date,Fitchs Rating,Fitchs Rating Date,SP Rating,SP Rating Date,Moodys Rating,Moodys Rating Date,Duration,Total Duration,Modified Duration,Modified Duration,Mac. Duration,Macaulay Duration,Yield To Maturity,Yield to Maturity,Average Yield to Maturity,Yield to Maturity,Bond Grade,Par Value,Face Issued Total
0,0#DK0030237029=,0#DK0030237029=,DKK,,,,,,,,,2010-03-12,,,,,,,,,,,,500000.0,450000000.0
1,0#DK0030239314=,0#DK0030239314=,DKK,,,,,,,,,2010-04-23,,,,,,,,,,,,500000.0,450000000.0
2,0#DK0030248067=,0#DK0030248067=,DKK,,,,,,,,,2010-06-28,,,,,,,,,,,,500000.0,350000000.0
3,0#DK0030256169=,0#DK0030256169=,DKK,,,,,,,,,2010-07-22,,,,,,,,,,,,500000.0,600000000.0
4,DK0002000421=,DK0002000421=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,0.1583,,0.1581,0.047898483322845,0.155556,,2.54321,,,0.97841,,0.01,3926557000.0
5,DK0002004092=,DK0002004092=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,1.6237,,1.6085,0.241501581183134,1.620056,,4.076302,,,3.776228,,0.01,51845836000.0
6,DK0002004258=,DK0002004258=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,1.6274,,1.6139,0.241247087004405,1.621254,,3.938024,,,3.351317,,0.01,29187075000.0
7,DK0002004415=,DK0002004415=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,0.2885,,0.3224,,,,,,,-42.069554,,0.01,10033872000.0
8,DK0002004845=,DK0002004845=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,1.6259,,1.6117,0.241514975613593,1.623558,,3.672154,,,3.520872,,0.01,8745365000.0
9,DK0002006030=,DK0002006030=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,3.145,,3.1146,0.445552334801762,3.141251,,3.985255,,,3.907656,,0.01,4962614000.0
10,DK0002006113=,DK0002006113=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,3.141,,3.1097,0.446704255821271,3.137294,,4.099286,,,4.023608,,0.01,29590886000.0
11,DK0002006469=,DK0002006469=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,2.5601,,2.5333,0.367101155601007,2.5507,,4.604355,,,4.234161,,0.01,22374418000.0
12,DK0002011386=,DK0002011386=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,4.1591,,4.1188,0.578679579137822,4.154327,,3.967239,,,3.909136,,0.01,66037778000.0
13,DK0002011469=,DK0002011469=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,3.2591,,3.2276,0.452798721680302,3.255345,,3.984798,,,3.912294,,0.01,6885766000.0
14,DK0002012780=,DK0002012780=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,4.5191,,4.4798,0.628935482221523,4.513975,,3.568764,,,3.514116,,0.01,31295515000.0
15,DK0002013408=,DK0002013408=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,4.2737,,4.2329,0.590453283511643,4.268828,,3.906362,,,3.850027,,0.01,9719450000.0
16,DK0002013838=,DK0002013838=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,4.3487,,4.3018,,4.343789,,4.410777,,,4.35648,,0.01,2634992000.0
17,DK0002013911=,DK0002013911=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,4.2315,,4.1846,0.584666889553178,4.215434,,4.712304,,,4.486309,,0.01,3548574000.0
18,DK0002014216=,DK0002014216=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,5.4498,,5.3958,0.744154373033354,5.44375,,4.0503,,,4.006274,,0.01,21455600000.0
19,DK0002014489=,DK0002014489=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,5.4138,,5.3559,0.746257298615482,5.407598,,4.37177,,,4.326644,,0.01,36384012000.0
20,DK0002014646=,DK0002014646=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,4.7443,,4.7035,0.66931969005664,4.73893,,3.523534,,,3.471638,,0.01,13075769000.0
21,DK0002014729=,DK0002014729=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,4.5126,,4.4724,0.628841721208307,4.507469,,3.656597,,,3.601644,,0.01,13010911606.0
22,DK0002014992=,DK0002014992=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,0.5304,,0.5283,0.098007047671492,0.529049,,1.92958,,,1.556467,,0.01,3268064000.0
23,DK0002015023=,DK0002015023=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,4.7293,,4.6865,0.655201960352423,4.723915,,3.706598,,,3.654066,,0.01,12740007000.0
24,DK0002015106=,DK0002015106=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,5.8328,,0.1566,,5.828682,,2.661846,,,2.637089,,0.01,2531655660.0
25,DK0002015296=,DK0002015296=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,5.5969,,0.1566,,5.590932,,2.785451,,,2.742087,,0.01,3610524450.0
26,DK0002016260=,DK0002016260=,DKK,WR,Moody's Long-term Mortgage Covered Bonds Rating,2020-06-12,,,,,WR,2020-06-12,0.8976,,0.8896,0.146240391755821,0.895865,,3.890687,,,3.613581,,0.01,2775969000.0
