,Instrument,RIC,Currency,Issuer Rating,Rating Source Description,Date,Fitchs Rating,Fitchs Rating Date,SP Rating,SP Rating Date,Moodys Rating,Moodys Rating Date,Duration,Total Duration,Modified Duration,Modified Duration,Mac. Duration,Macaulay Duration,Yield To Maturity,Yield to Maturity,Average Yield to Maturity,Yield to Maturity,Bond Grade,Par Value,Face Issued Total
0,DEA19JHQ=,DEA19JHQ=,EUR,Aaa,Moody's Long-term Mortgage Covered Bonds Rating,2014-11-28,,,,,Aaa,2017-06-07,1.0828,,1.0532,1.3803,1.081293,,2.809048,,,2.80712,Bond Grade: Investment Grade,1000,1000000000
1,DEA1ZYKN=,DEA1ZYKN=,EUR,AA (low),Dominion Bond Rating Service (DBRS) - Long-term Issuer,2018-12-07,,,,,Aaa,2015-03-13,0.8658,,0.8453,1.1639,0.866667,,2.650345,,,2.793457,Bond Grade: Investment Grade,1000,1000000000
2,DEA285A2=,DEA285A2=,EUR,Aaa,Moody's Long-term Mortgage Covered Bonds Rating,2014-11-28,,,,,Aaa,2020-11-18,4.5414,,4.4058,4.7371,4.537793,,3.088424,,,3.077096,Bond Grade: Investment Grade,1000,1250000000
3,DEA28SAX=,DEA28SAX=,EUR,Aaa,Moody's Long-term Mortgage Covered Bonds Rating,2014-11-28,,,,,Aaa,2020-01-20,1.9611,,1.9053,2.2345,1.960597,,2.949654,,,2.931615,Bond Grade: Investment Grade,1000,1000000000
4,DEA2R3NS=,DEA2R3NS=,EUR,AA (low),Dominion Bond Rating Service (DBRS) - Long-term Issuer,2018-12-07,,,,,Aaa,2019-06-14,1.1193,,1.0896,1.4181,1.118163,,2.754494,,,2.726181,Bond Grade: Investment Grade,1000,1000000000
5,DEA2RXT8=,DEA2RXT8=,EUR,Aaa,Moody's Long-term Mortgage Covered Bonds Rating,2014-11-28,,,,,Aaa,2019-02-15,2.7643,,2.685,2.9965,2.758456,,2.98035,,,2.950422,Bond Grade: Investment Grade,1000,1250000000
6,DEA3LTE7=,DEA3LTE7=,EUR,Aaa,Moody's Long-term Mortgage Covered Bonds Rating,2014-11-28,,,,,Aaa,2024-01-17,4.778,,4.6329,4.9661,4.777811,,3.140935,,,3.130221,Bond Grade: Investment Grade,1000,1000000000
7,DK267356483=,DK267356483=,EUR,Aaa,Moody's Long-term Mortgage Covered Bonds Rating,2011-06-23,,,,,Aaa,2023-08-28,2.6375,,2.5622,2.8009,2.63386,2.8714,2.948946,2.5386,,2.940556,Bond Grade: Investment Grade,1000,1000000000
8,FI0003030544=,FI0003030544=,EUR,,,,,,,,,2008-12-18,0.1209,,0.12,,,,,,,11.494821,,50000,28000000
9,FI261383829=,FI261383829=,EUR,Aaa,Moody's Long-term Mortgage Covered Bonds Rating,2014-11-28,,,,,Aaa,2023-04-20,2.3705,,2.3028,2.6344,2.368571,2.6999,2.957323,2.5087,,2.942008,Bond Grade: Investment Grade,1000,1000000000
10,FI271729278=,FI271729278=,EUR,Aaa,Moody's Long-term Mortgage Covered Bonds Rating,2014-11-28,,,,,Aaa,2023-11-15,0.7836,,0.7677,1.0569,0.777778,1.08,2.666296,2.2187,,2.640568,Bond Grade: Investment Grade,1000,1000000000
11,FI4000024179=,FI4000024179=,EUR,,,,,,,,,2011-05-10,0.2573,,0.0139,,,,,,,10.840495,,50000,15000000
12,FI4000149976=,FI4000149976=,EUR,,,,,,,,,2015-03-30,0.9014,,0.0061,,,,,,,10.509905,,1000,12000000
13,FI4000282629=,FI4000282629=,EUR,Baa3,Moody's Derived Long-term Issuer Rating,2025-11-17,,,,,,2017-09-29,1.3757,,1.3241,1.6487,1.372932,,3.942698,,,3.893252,,1000,250000000
14,FI4000292180=,FI4000292180=,EUR,,,,,,,,,2017-11-17,0.2833,,0.2833,,,,,,,94.10266,,20000,40000000
15,FI4000353099=,FI4000353099=,EUR,Discontinued,Dominion Bond Rating Service (DBRS) - Long-term Issuer,2023-11-30,,,,,,2021-05-11,,,,,,,,,,,,1000,3329000
16,FI4000384185=,FI4000384185=,EUR,,,,,,,,,2019-05-23,0.8838,,0.0493,,,,,,,19.82502,,100000,58400000
17,FI4000386446=,FI4000386446=,EUR,a2,Moody's Adjusted Baseline Credit Assessments Rating,2025-11-18,,,,,,2021-11-25,,,,,,,,,,,,1000,1300000
18,FI4000387279=,FI4000387279=,EUR,a2,Moody's Adjusted Baseline Credit Assessments Rating,2025-11-18,,,,,,2022-10-21,,,,,,,,,,,,1000,5107000
19,FI4000399696=,FI4000399696=,EUR,,,,,,,,,2019-09-23,0.3863,,0.3822,0.702,0.383333,,2.860608,,,2.811144,,100000,150000000
