,Instrument,RIC,Currency,Issuer Rating,Rating Source Description,Date,Fitchs Rating,Fitchs Rating Date,SP Rating,SP Rating Date,Moodys Rating,Moodys Rating Date,Duration,Total Duration,Modified Duration,Modified Duration,Mac. Duration,Macaulay Duration,Yield To Maturity,Yield to Maturity,Average Yield to Maturity,Yield to Maturity,Bond Grade,Par Value,Face Issued Total
0,DEA185JS=,DEA185JS=,EUR,Aa3(cr),Moody's Long-term Counterparty Risk Assessment,2023-11-03,WD,2017-10-25,,,Aaa,2016-08-30,0.3205,,0.3181,0.6406,0.319444,,2.415126,,,2.416706,Bond Grade: Investment Grade,1000,1000000000
1,DEA185TU=,DEA185TU=,EUR,WR,Moody's Long-term Other Covered Bonds Rating,2018-12-20,,,,,Aaa,2016-09-08,0.3425,,0.3397,0.6618,0.338889,,2.421796,,,2.375904,Bond Grade: Investment Grade,1000,1500000000
2,DEA282SD=,DEA282SD=,EUR,Aa3(cr),Moody's Long-term Counterparty Risk Assessment,2023-11-03,,,,,Aaa,2020-09-21,1.3835,,1.3453,1.674,1.380453,,2.832195,,,2.83992,Bond Grade: Investment Grade,1000,1000000000
3,DEA2RW3D=,DEA2RW3D=,EUR,Aa3(cr),Moody's Long-term Counterparty Risk Assessment,2023-11-03,,,,,Aaa,2019-01-30,2.7092,,2.6318,2.9337,2.705559,,2.953697,,,2.939927,Bond Grade: Investment Grade,1000,1250000000
4,DEA3K1DE=,DEA3K1DE=,EUR,Aa3(cr),Moody's Long-term Counterparty Risk Assessment,2023-11-03,,,,,Aaa,2022-01-19,1.711,,1.6633,1.9911,1.70705,,2.884454,,,2.869344,Bond Grade: Investment Grade,1000,1250000000
5,DEA3K8PC=,DEA3K8PC=,EUR,Aa3(cr),Moody's Long-term Counterparty Risk Assessment,2023-10-13,,,,,Aaa,2022-08-18,1.8441,,1.7924,2.0918,1.844924,,2.89954,,,2.884731,Bond Grade: Investment Grade,1000,1000000000
6,DEA3KQTS=,DEA3KQTS=,EUR,WR,Moody's Long-term Other Covered Bonds Rating,2018-12-20,,,,,Aaa,2021-05-06,2.0189,,1.9626,2.2937,2.01913,,2.872189,,,2.865718,Bond Grade: Investment Grade,1000,1000000000
7,DEA460DV=F,DEA460DV=F,EUR,,,,,,,,,2025-11-28,,,,,,,,,,,,1,3132319
8,DEA4EAY4=,DEA4EAY4=,EUR,Aa3(cr),Moody's Long-term Counterparty Risk Assessment,2023-11-03,,,,,Aaa,2025-05-09,3.6391,,3.5327,,3.633228,,3.025479,2.7175,,3.012082,Bond Grade: Investment Grade,1000,1250000000
9,DEA4ENQG=,DEA4ENQG=,EUR,WR,Moody's Long-term Other Covered Bonds Rating,2018-12-20,,,,,Aaa,2026-01-16,5.3177,,5.1574,,5.313433,,3.121626,,,3.107608,Bond Grade: Investment Grade,1000,1500000000
10,DEA4EQ6B=F,DEA4EQ6B=F,EUR,,,,,,,,,2026-02-16,,,,,,,,,,,,1,1371198
11,DEA4ERPL=F,DEA4ERPL=F,EUR,,,,,,,,,2026-02-27,,,,,,,,,,,,1,3144478
12,DEA4ESCT=,NO2460021=,EUR,Aa3(cr),Moody's Long-term Counterparty Risk Assessment,2023-11-03,,,,,Aaa,2026-03-18,5.4599,,5.293,,5.460893,,3.16027,,,3.151822,Bond Grade: Investment Grade,1000,1000000000
13,DEA4ESCT=,DEA4ESCT=,,,,,,,,,,,,,,,,,,,,,,,
14,DEA4ETDQ=,NO4343308=,EUR,Aa3(cr),Moody's Long-term Counterparty Risk Assessment,2023-03-31,,,,,Aaa,2026-04-14,4.6745,,4.5335,,4.67367,,3.119647,,,3.109627,Bond Grade: Investment Grade,1000,1000000000
15,DEA4ETDQ=,DEA4ETDQ=,,,,,,,,,,,,,,,,,,,,,,,
16,NO0010821572=,NO0010821572=,NOK,A3,Moody's Derived Long-term Issuer Rating,2023-12-18,,,,,,2018-04-24,3.768,,3.5777,0.321823380596048,3.767381,,5.369489,,,5.320085,,1000000,750000000
17,NO0010832785=,NO0010832785=,EUR,,,,,,,,,2018-09-24,,,,,,,,,,,,1000,60000000
18,NO0010834534=,NO0010834534=,NOK,A3,Moody's Derived Long-term Issuer Rating,2023-12-18,,,,,,2018-10-18,6.4593,,6.1292,0.551370027201802,6.455248,,5.434743,,,5.384921,,1000000,750000000
