,Instrument,RIC,Currency,Issuer Rating,Rating Source Description,Date,Fitchs Rating,Fitchs Rating Date,SP Rating,SP Rating Date,Moodys Rating,Moodys Rating Date,Duration,Total Duration,Modified Duration,Modified Duration,Mac. Duration,Macaulay Duration,Yield To Maturity,Yield to Maturity,Average Yield to Maturity,Yield to Maturity,Bond Grade,Par Value,Face Issued Total
0,DEA285GL=,DEA285GL=,EUR,P-1,Moody's Short-term Issuer Counterparty Risk Rating,2018-06-26,,,,,Aaa,2020-11-20,2.5558,,2.4829,2.8145,2.552463,,2.947862,,,2.937672,Bond Grade: Investment Grade,1000,1000000000
1,DEA3KSG2=,DEA3KSG2=,EUR,Aaa,Moody's Long-term Other Covered Bonds Rating,2018-10-16,,,,,Aaa,2021-06-11,3.8569,,3.7443,4.0761,3.85769,,3.02591,,,3.00585,Bond Grade: Investment Grade,1000,1000000000
2,DEA3KWUS=,DEA3KWUS=,EUR,P-1,Moody's Short-term Issuer Counterparty Risk Rating,2018-06-26,,,,,Aaa,2021-09-27,4.4044,,4.2763,4.608,4.401684,,3.024998,,,2.996095,Bond Grade: Investment Grade,1000,1000000000
3,DEA3LESB=,DEA3LESB=,EUR,AA-,Fitch Senior Non-Preferred,2025-05-19,,,,,Aaa,2023-02-27,1.9659,,1.9106,2.1907,1.965846,,2.907626,,,2.892549,Bond Grade: Investment Grade,1000,1500000000
4,DEA3LF3E=,DEA3LF3E=,EUR,P-1,Moody's Short-term Issuer Counterparty Risk Rating,2018-06-26,,,,,Aaa,2023-04-03,1.8848,,1.8321,2.1129,1.883647,,2.910242,,,2.879879,Bond Grade: Investment Grade,1000,1000000000
5,DEA4D6MJ=F,DEA4D6MJ=F,SEK,,,,,,,,,2024-05-08,0.0556,,0.0555,,,,,,,9.678689,,1,130000000
6,DEA4D7DT=,DEA4D7DT=,EUR,Aaa,Moody's Long-term Other Covered Bonds Rating,2018-10-16,,,,,Aaa,2025-02-24,3.6589,,3.5526,3.7956,3.653407,,3.015163,,,2.993015,Bond Grade: Investment Grade,1000,1000000000
7,DEA4D7PP=F,DEA4D7PP=F,SEK,,,,,,,,,2025-02-27,0.3111,,0.3101,,,,,,,8.327228,,1250000,180580394
8,NO0010786858=,NO0010786858=,NOK,AA-,Fitch Senior Non-Preferred,2025-05-19,AA,2022-07-01,,,Aa2,2026-04-21,0.8028,,0.772,0.089986357250326,0.802778,,4.986916,,,4.961988,Bond Grade: Investment Grade,1000000,500000000
9,NO0011117145=,NO0011117145=,SEK,,,,,,,,,2021-10-20,1.4833,,1.3883,,,,,,,27.394588,,1250000,491413754
10,SE0000432817=,SE0000432817=,SEK,Discontinued,Dominion Bond Rating Service (DBRS) - Long-term Issuer,2023-11-30,,,,,NR,1997-12-17,0.6167,,0.6027,,,,,,,6.63048,,1000000,300000000
11,SE0001135153=,SE0001135153=,SEK,,,,,,,,WR,2007-10-24,10.0894,,0.0194,,,,,,,1.0,,1000000,304000000
12,SE0001233990=,SE0001233990=,SEK,,,,,,,,,2003-12-01,2.4381,,1.9594,,2.474455,0.260013299538769,1.827202,,,24.427754,,1000,1085000000
13,SE0003848415=,SE0003848415=,SEK,BBB-,Fitch Subordinated,2022-04-28,,,,,,2011-02-28,9.9789,,9.6226,0.886014118114176,9.971677,,3.747962,,,3.702828,,1000000,430000000
14,SE0003989557=,SE0003989557=,SEK,WR,Moody's Backed Senior Unsecured,2016-01-31,,,,,,2011-07-26,,,,,,,,,,,,10000,18510000
15,SE0003989565=,SE0003989565=,SEK,WR,Moody's Backed Senior Unsecured,2016-01-31,,,,,,2011-07-26,,,,,,,,,,,,10000,8880000
16,SE0003989573=,SE0003989573=,SEK,WR,Moody's Backed Senior Unsecured,2016-01-31,,,,,,2011-07-26,,,,,,,,,,,,10000,7250000
17,SE0004236685=,SE0004236685=,SEK,BBB-,Fitch Subordinated,2022-04-28,,,,,,2011-09-19,10.5336,,10.1551,0.935736706988078,10.526458,,3.77801,,,3.72783,,1000000,230000000
18,SE0004750305=,SE0004750305=,SEK,,,,,,,,,2012-10-01,0.4139,,0.4079,,,,,,,3.662356,,1000000,750000000
19,SE0004750313=,SE0004750313=,SEK,BBB-,Fitch Subordinated,2022-04-28,,,,,,2012-07-23,12.4195,,11.9533,1.13372874042729,12.4024,,3.960019,,,3.899743,,1000000,250000000
20,SE0004841021=,SE0004841021=,SEK,,,,,,,,,2012-10-01,1.3675,,1.3284,0.153696421112175,1.367453,,2.991464,,,2.941395,,100000,220000000
21,SE0005095106=,SE0005095106=,SEK,,,,,,,,,2013-02-27,12.1844,,11.719,1.04934203343921,12.159856,,4.051459,,,3.97185,,100000,180000000
22,SE0005127206=,SE0005127206=,SEK,,,,,,,,,2013-03-27,1.8374,,0.1528,,1.834602,,2.606712,,,2.55656,,1000000,400000000
23,SE0005392834=,SE0005392834=,SEK,,,,,,,,,2013-10-07,,,,,,,,,,,,10000,750000000
24,SE0005933231=,SE0005933231=,SEK,,,,,,,,,2014-05-07,,,,,,,,,,,,1000000,500000000
25,SE0005999521=,SE0005999521=,SEK,,,,,,,,,2014-06-17,,,,,,,,,,,,1000000,425000000
26,SE0006090502=,SE0006090502=,SEK,Discontinued,Dominion Bond Rating Service (DBRS) - Long-term Issuer,2023-11-30,,,,,,2019-11-28,,,,,,,,,,,,10000,50000000
27,SE0006426003=,SE0006426003=,SEK,,,,,,,,,2014-10-30,0.4861,,0.4749,0.074245854908189,0.486111,,2.404647,,,2.354596,,500000,450000000
28,SE0006764262=,SE0006764262=,SEK,(P)A3,Moody's Long-term Subordinate MTN Rating,2025-10-07,,,,,,2015-04-29,,,,,,,,,,,,10000,32000000
29,SE0006764270=,SE0006764270=,SEK,(P)A3,Moody's Long-term Subordinate MTN Rating,2025-10-07,,,,,,2015-04-29,,,,,,,,,,,,10000,60000000
30,SE0006799953=,SE0006799953=,SEK,(P)A3,Moody's Long-term Subordinate MTN Rating,2025-10-07,,,,,,2015-04-29,,,,,,,,,,,,10000,51000000
31,SE0006799979=,SE0006799979=,SEK,(P)A3,Moody's Long-term Subordinate MTN Rating,2025-10-07,,,,,,2015-04-29,,,,,,,,,,,,10000,67000000
32,SE0006800009=,SE0006800009=,SEK,(P)A3,Moody's Long-term Subordinate MTN Rating,2025-10-07,,,,,,2015-04-29,,,,,,,,,,,,10000,15000000
33,SE0006800306=,SE0006800306=,SEK,(P)A3,Moody's Long-term Subordinate MTN Rating,2025-10-07,,,,,,2015-04-29,,,,,,,,,,,,10000,23000000
